source,target,relationship_type
REAG - GESTAO DE CREDITO LTDA,PAOLA MANDATO VAZ,company_to_socio
REAG - GESTAO DE CREDITO LTDA,GUSTAVO SCHROEDER BELGER,company_to_socio
REAG - GESTAO DE CREDITO LTDA,RICARDO ALEXANDRE PLATI MOURA,company_to_socio
REAG - GESTAO DE CREDITO LTDA,LEANDRO MINORU SHIMOKAWA,company_to_socio
REAG - GESTAO DE CREDITO LTDA,MARCELA DE LIMA MARQUES,company_to_socio
REAG - GESTAO DE CREDITO LTDA,EMPIRICA HOLDING LTDA,company_to_socio
REAG - GESTAO DE CREDITO LTDA,RAFAEL CUNHA ANDRADE,company_to_socio
REAG - GESTAO DE CREDITO LTDA,RENATO LAZARO RAMOS,company_to_socio
REAG - GESTAO DE CREDITO LTDA,POLLYANNA REISHOFFER,company_to_socio
REAG - GESTAO DE CREDITO LTDA,WILLIAN SIMOES,company_to_socio
REAG - GESTAO DE CREDITO LTDA,DENISE TATIANA DE LEON MORAN,company_to_socio
REAG - GESTAO DE CREDITO LTDA,CAMILA DOS SANTOS ZANINI,company_to_socio
REAG - GESTAO DE CREDITO LTDA,LIZANDRA COSTA VERARDI DIAS,company_to_socio
REAG - GESTAO DE CREDITO LTDA,JAIME WEINBERG,company_to_socio
REAG - GESTAO DE CREDITO LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - GESTAO DE CREDITO LTDA,FABIANA FRANCO,company_to_socio
REAG - GESTAO DE CREDITO LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - GESTAO DE CREDITO LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - AUCTION OPPORTUNITIES LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - AUCTION OPPORTUNITIES LTDA,REAG CAPITAL HOLDING S.A.,company_to_socio
REAG - AUCTION OPPORTUNITIES LTDA,GLEYSSON VILELA SILVA,company_to_socio
REAG - 51 PARTICIPACOES LTDA,ANTONIO JOSE SANTOS GUIMARAES,company_to_socio
REAG - 51 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
REAG - ASSET MANAGEMENT PART S.A,LEONARDO FALBO DONATO,company_to_socio
REAG - ASSET MANAGEMENT PART S.A,ANDRE LUIS DE OLIVEIRA AGOSTINHO,company_to_socio
REAG - ASSET MANAGEMENT PART S.A,SILVANO GERSZTEL,company_to_socio
REAG - ASSET MANAGEMENT PART S.A,JOAO CARLOS FALBO MANSUR,company_to_socio
REAG - ASSET MANAGEMENT PART S.A,LEONARDO DE SOUZA CARVALHO,company_to_socio
REAG - PLATAFORMA ELETRONICA DE INVESTIMENTOS ALTERNATIVOS LDA.,ANJOODA HOLDING LTDA,company_to_socio
REAG - PLATAFORMA ELETRONICA DE INVESTIMENTOS ALTERNATIVOS LDA.,LEONARDO FALBO DONATO,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,REAG ASSET MANAGEMENT S.A.,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,REAG TRUST PARTNERS LTDA,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,DARIO GRAZIATO TANURE,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,MURILO MENEZES PISCIOTTA,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,JOSE EDUARDO DE ASSUNCAO,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,AQUILES FELDMAN,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,MARCOS ANTONIO DA COSTA BAPTISTA,company_to_socio
REAG - EQUITIES GESTAO DE RECURSOS LTDA,FABIANA FRANCO,company_to_socio
REAG - AGROPECUARIA LTDA,RUBIA MARIA GUERRA,company_to_socio
REAG - AGROPECUARIA LTDA,GILMAR GABRIEL GUERRA,company_to_socio
REAG - AGROPECUARIA LTDA,AMAURY GABRIEL GUERRA,company_to_socio
REAG - ENGENHARIA EIRELI,REINALDO PORTO DA SILVA,company_to_socio
REAG - SPRAY MONTAGEM E COMERCIO LTDA,DJALMA LUIZ RODRIGUES,company_to_socio
REAG - SPRAY MONTAGEM E COMERCIO LTDA,DANILO BARRETTO,company_to_socio
REAG - 79 PARTICIPACOES LTDA,MARIA CANDIDA DE CAMPOS VERGANI BULHOES,company_to_socio
REAG - 79 PARTICIPACOES LTDA,I9 SERVICOS ADMINISTRATIVOS LTDA.,company_to_socio
